"Application","energy_core","app_sim","time","energy","Scheduler"
"Inspiral_30",3.5,"app/Inspiral_30.xml",4486.275753,2841362.607155,"round_robin"
"Inspiral_50",3.5,"app/Inspiral_50.xml",4740.409382,3058412.711593,"round_robin"
"Montage_100",3.5,"app/Montage_100.xml",308.942509,203001.623961,"round_robin"
"Montage_25",3.5,"app/Montage_25.xml",156.28829,98951.926552,"round_robin"
"Montage_50",3.5,"app/Montage_50.xml",223.555001,143691.486859,"round_robin"
"Inspiral_30",3,"app/Inspiral_30.xml",4486.275753,2435453.663276,"round_robin"
"Inspiral_50",3,"app/Inspiral_50.xml",4740.409382,2621496.609937,"round_robin"
"Montage_100",3,"app/Montage_100.xml",308.942509,174001.391967,"round_robin"
"Montage_25",3,"app/Montage_25.xml",156.28829,84815.937044,"round_robin"
"Montage_50",3,"app/Montage_50.xml",223.555001,123164.131593,"round_robin"
"Inspiral_30",2.5,"app/Inspiral_30.xml",4486.275753,2029544.719396,"round_robin"
"Inspiral_50",2.5,"app/Inspiral_50.xml",4740.409382,2184580.508281,"round_robin"
"Montage_100",2.5,"app/Montage_100.xml",308.942509,145001.159972,"round_robin"
"Montage_25",2.5,"app/Montage_25.xml",156.28829,70679.947537,"round_robin"
"Montage_50",2.5,"app/Montage_50.xml",223.555001,102636.776328,"round_robin"
"Inspiral_30",2,"app/Inspiral_30.xml",4486.275753,1623635.775517,"round_robin"
"Inspiral_50",2,"app/Inspiral_50.xml",4740.409382,1747664.406624,"round_robin"
"Montage_100",2,"app/Montage_100.xml",308.942509,116000.927978,"round_robin"
"Montage_25",2,"app/Montage_25.xml",156.28829,56543.95803,"round_robin"
"Montage_50",2,"app/Montage_50.xml",223.555001,82109.421062,"round_robin"
"Inspiral_30",1.5,"app/Inspiral_30.xml",4486.275753,1217726.831638,"round_robin"
"Inspiral_50",1.5,"app/Inspiral_50.xml",4740.409382,1310748.304968,"round_robin"
"Montage_100",1.5,"app/Montage_100.xml",308.942509,87000.695983,"round_robin"
"Montage_25",1.5,"app/Montage_25.xml",156.28829,42407.968522,"round_robin"
"Montage_50",1.5,"app/Montage_50.xml",223.555001,61582.065797,"round_robin"
"Inspiral_30",1,"app/Inspiral_30.xml",4486.275753,811817.887759,"round_robin"
"Inspiral_50",1,"app/Inspiral_50.xml",4740.409382,873832.203312,"round_robin"
"Montage_100",1,"app/Montage_100.xml",308.942509,58000.463989,"round_robin"
"Montage_25",1,"app/Montage_25.xml",156.28829,28271.979015,"round_robin"
"Montage_50",1,"app/Montage_50.xml",223.555001,41054.710531,"round_robin"
"Inspiral_30",0.5,"app/Inspiral_30.xml",4486.275753,405908.943879,"round_robin"
"Inspiral_50",0.5,"app/Inspiral_50.xml",4740.409382,436916.101656,"round_robin"
"Montage_100",0.5,"app/Montage_100.xml",308.942509,29000.231994,"round_robin"
"Montage_25",0.5,"app/Montage_25.xml",156.28829,14135.989507,"round_robin"
"Montage_50",0.5,"app/Montage_50.xml",223.555001,20527.355266,"round_robin"
"Inspiral_30",3.5,"app/Inspiral_30.xml",4486.234006,2841336.891053,"minmin"
"Inspiral_50",3.5,"app/Inspiral_50.xml",4740.76153,3058629.634231,"minmin"
"Montage_100",3.5,"app/Montage_100.xml",343.590363,224344.702126,"minmin"
"Montage_25",3.5,"app/Montage_25.xml",156.291228,98953.736159,"minmin"
"Montage_50",3.5,"app/Montage_50.xml",222.826698,143242.852154,"minmin"
"Inspiral_30",3,"app/Inspiral_30.xml",4486.234006,2435431.620902,"minmin"
"Inspiral_50",3,"app/Inspiral_50.xml",4740.76153,2621682.543626,"minmin"
"Montage_100",3,"app/Montage_100.xml",343.590363,192295.458965,"minmin"
"Montage_25",3,"app/Montage_25.xml",156.291228,84817.488137,"minmin"
"Montage_50",3,"app/Montage_50.xml",222.826698,122779.587561,"minmin"
"Inspiral_30",2.5,"app/Inspiral_30.xml",4486.234006,2029526.350752,"minmin"
"Inspiral_50",2.5,"app/Inspiral_50.xml",4740.76153,2184735.453022,"minmin"
"Montage_100",2.5,"app/Montage_100.xml",343.590363,160246.215804,"minmin"
"Montage_25",2.5,"app/Montage_25.xml",156.291228,70681.240114,"minmin"
"Montage_50",2.5,"app/Montage_50.xml",222.826698,102316.322967,"minmin"
"Inspiral_30",2,"app/Inspiral_30.xml",4486.234006,1623621.080602,"minmin"
"Inspiral_50",2,"app/Inspiral_50.xml",4740.76153,1747788.362418,"minmin"
"Montage_100",2,"app/Montage_100.xml",343.590363,128196.972643,"minmin"
"Montage_25",2,"app/Montage_25.xml",156.291228,56544.992091,"minmin"
"Montage_50",2,"app/Montage_50.xml",222.826698,81853.058374,"minmin"
"Inspiral_30",1.5,"app/Inspiral_30.xml",4486.234006,1217715.810451,"minmin"
"Inspiral_50",1.5,"app/Inspiral_50.xml",4740.76153,1310841.271813,"minmin"
"Montage_100",1.5,"app/Montage_100.xml",343.590363,96147.729482,"minmin"
"Montage_25",1.5,"app/Montage_25.xml",156.291228,42408.744068,"minmin"
"Montage_50",1.5,"app/Montage_50.xml",222.826698,61389.79378,"minmin"
"Inspiral_30",1,"app/Inspiral_30.xml",4486.234006,811810.540301,"minmin"
"Inspiral_50",1,"app/Inspiral_50.xml",4740.76153,873894.181209,"minmin"
"Montage_100",1,"app/Montage_100.xml",343.590363,64098.486322,"minmin"
"Montage_25",1,"app/Montage_25.xml",156.291228,28272.496046,"minmin"
"Montage_50",1,"app/Montage_50.xml",222.826698,40926.529187,"minmin"
"Inspiral_30",0.5,"app/Inspiral_30.xml",4486.234006,405905.27015,"minmin"
"Inspiral_50",0.5,"app/Inspiral_50.xml",4740.76153,436947.090604,"minmin"
"Montage_100",0.5,"app/Montage_100.xml",343.590363,32049.243161,"minmin"
"Montage_25",0.5,"app/Montage_25.xml",156.291228,14136.248023,"minmin"
"Montage_50",0.5,"app/Montage_50.xml",222.826698,20463.264593,"minmin"
"Inspiral_30",3.5,"app/Inspiral_30.xml",4486.233978,2841336.873499,"decreasing_time"
"Inspiral_50",3.5,"app/Inspiral_50.xml",4740.334256,3058366.433517,"decreasing_time"
"Montage_100",3.5,"app/Montage_100.xml",343.254347,224137.716091,"decreasing_time"
"Montage_25",3.5,"app/Montage_25.xml",156.291192,98953.71418,"decreasing_time"
"Montage_50",3.5,"app/Montage_50.xml",222.961067,143325.623806,"decreasing_time"
"Inspiral_30",3,"app/Inspiral_30.xml",4486.233978,2435431.605857,"decreasing_time"
"Inspiral_50",3,"app/Inspiral_50.xml",4740.334256,2621456.943015,"decreasing_time"
"Montage_100",3,"app/Montage_100.xml",343.254347,192118.042364,"decreasing_time"
"Montage_25",3,"app/Montage_25.xml",156.291192,84817.469297,"decreasing_time"
"Montage_50",3,"app/Montage_50.xml",222.961067,122850.534691,"decreasing_time"
"Inspiral_30",2.5,"app/Inspiral_30.xml",4486.233978,2029526.338214,"decreasing_time"
"Inspiral_50",2.5,"app/Inspiral_50.xml",4740.334256,2184547.452512,"decreasing_time"
"Montage_100",2.5,"app/Montage_100.xml",343.254347,160098.368637,"decreasing_time"
"Montage_25",2.5,"app/Montage_25.xml",156.291192,70681.224414,"decreasing_time"
"Montage_50",2.5,"app/Montage_50.xml",222.961067,102375.445576,"decreasing_time"
"Inspiral_30",2,"app/Inspiral_30.xml",4486.233978,1623621.070571,"decreasing_time"
"Inspiral_50",2,"app/Inspiral_50.xml",4740.334256,1747637.96201,"decreasing_time"
"Montage_100",2,"app/Montage_100.xml",343.254347,128078.694909,"decreasing_time"
"Montage_25",2,"app/Montage_25.xml",156.291192,56544.979532,"decreasing_time"
"Montage_50",2,"app/Montage_50.xml",222.961067,81900.35646,"decreasing_time"
"Inspiral_30",1.5,"app/Inspiral_30.xml",4486.233978,1217715.802928,"decreasing_time"
"Inspiral_50",1.5,"app/Inspiral_50.xml",4740.334256,1310728.471507,"decreasing_time"
"Montage_100",1.5,"app/Montage_100.xml",343.254347,96059.021182,"decreasing_time"
"Montage_25",1.5,"app/Montage_25.xml",156.291192,42408.734649,"decreasing_time"
"Montage_50",1.5,"app/Montage_50.xml",222.961067,61425.267345,"decreasing_time"
"Inspiral_30",1,"app/Inspiral_30.xml",4486.233978,811810.535286,"decreasing_time"
"Inspiral_50",1,"app/Inspiral_50.xml",4740.334256,873818.981005,"decreasing_time"
"Montage_100",1,"app/Montage_100.xml",343.254347,64039.347455,"decreasing_time"
"Montage_25",1,"app/Montage_25.xml",156.291192,28272.489766,"decreasing_time"
"Montage_50",1,"app/Montage_50.xml",222.961067,40950.17823,"decreasing_time"
"Inspiral_30",0.5,"app/Inspiral_30.xml",4486.233978,405905.267643,"decreasing_time"
"Inspiral_50",0.5,"app/Inspiral_50.xml",4740.334256,436909.490502,"decreasing_time"
"Montage_100",0.5,"app/Montage_100.xml",343.254347,32019.673727,"decreasing_time"
